Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.405311584472656,35.272183740096956,26.784310258909947,28.92641169531458,855215656
1,2007-10-08,30.746387481689453,33.50051617415573,30.55311444959721,33.50051617415573,126671715
2,2007-10-09,32.840171813964844,33.13007920069238,29.103575582154324,30.762494199184793,116725709
3,2007-10-10,33.14618682861328,33.82264033434599,32.85627943159532,33.69379090326838,67931378
4,2007-10-11,36.8505744934082,38.65444925815257,32.85628318014069,38.65444925815257,106320954
5,2007-10-12,36.60898971557617,37.97800135541834,35.755371566893814,36.07749195273903,99410791
6,2007-10-15,37.0921630859375,37.591452208389285,36.77004276269241,37.36596623450312,41814972
7,2007-10-16,40.877079010009766,41.521324059042456,36.88278766784216,37.14048219222585,138614496
8,2007-10-17,44.06607437133789,45.096856849608045,34.17697588903258,36.72172791460878,204876259
9,2007-10-18,42.519893646240234,48.14089533057849,40.69991459784196,44.77473602773393,146617799
10,2007-10-19,42.374935150146484,44.09827956085975,40.26504464709222,41.553525796180864,110266491
11,2007-10-22,41.81124496459961,43.115831014369995,40.42612443484135,41.521337438988205,72253405
12,2007-10-23,44.790828704833984,45.1934789866152,42.841998719591786,42.841998719591786,74594921
13,2007-10-24,44.09828186035156,46.22427674101441,43.598992767622825,45.74109191587462,63055170
14,2007-10-25,44.00165557861328,45.03244259045622,38.86383352961207,42.600430986245904,34522489
15,2007-10-26,45.32234191894531,46.04711267747288,43.566784334008304,44.774735598220914,62370025
16,2007-10-29,46.24037170410156,47.35168827713475,45.837721405036696,46.06320732012716,43657697
17,2007-10-30,47.27117156982422,48.54354425285011,45.48340111557047,46.86852115702427,79921711
18,2007-10-31,48.2536506652832,49.31665068129262,47.351715229612644,47.51277544091366,44655368
19,2007-11-01,47.174537658691406,49.81592638355867,46.787995844418155,49.44548883982458,50632492
20,2007-11-02,48.02815246582031,48.318064268015135,45.0968564882514,45.4672983757144,32001693
21,2007-11-05,49.0106201171875,50.08972408932551,47.70603016793293,47.995941958236095,38833135
22,2007-11-06,49.65486145019531,52.79553468966793,48.978407878655425,49.86423879235283,81880281
23,2007-11-07,48.930091857910156,51.28156859126738,47.83488357619634,50.57290646499925,33593141
24,2007-11-08,48.09256362915039,49.39715323444381,47.02956857509093,47.67380906095373,27990521
25,2007-11-12,49.25221252441406,50.121939195416594,45.370659781946294,46.6430368804432,35153735
26,2007-11-13,50.42795181274414,51.442630034610566,48.49522972574644,50.08972719513427,43830531
27,2007-11-14,49.76759338378906,52.022435208622554,49.50989455381527,51.313768887489196,36738579
28,2007-11-15,50.60512161254883,51.49095258636795,49.65486482029173,50.70175597116887,29242252
29,2007-11-16,50.25077438354492,51.39429957523419,49.67095528585691,50.379621615574806,18895294
30,2007-11-19,52.07076644897461,53.95517135718765,51.00777104897588,51.39431284486776,40716718
31,2007-11-20,51.26545715332031,53.310921899211245,50.63732083081402,51.861380572537755,26342171
32,2007-11-21,47.27117156982422,51.877490544641034,46.127641776050396,51.571478852335034,26814499
33,2007-11-22,45.644466400146484,48.672401339242775,43.663427020785846,46.771887682437246,34096185
34,2007-11-23,48.67239761352539,48.96230504725839,45.93437033994088,48.640184705546886,27664090
35,2007-11-26,49.058929443359375,50.47625778536974,48.6723877331943,50.47625778536974,20159123
36,2007-11-27,47.85097885131836,49.89644349875791,47.351694165998836,49.89644349875791,20573198
37,2007-11-28,47.142330169677734,49.123374125655566,46.82020976955614,48.89788809795544,16435311
38,2007-11-29,45.86994934082031,48.57575936380471,45.27402582902906,48.31806483553449,25530967
39,2007-11-30,47.6416130065918,47.93152045392004,46.063224131994104,46.707464845628834,18437721
40,2007-12-03,48.31806182861328,48.91398530331913,47.85098561002413,48.22142310974836,16851227
41,2007-12-04,47.6899299621582,49.042837202047075,47.33559669751712,48.64018675791788,14008727
42,2007-12-05,49.59044647216797,49.7676153150427,47.67383269788059,47.77046707105766,27725290
43,2007-12-06,48.67239761352539,51.426524787544025,48.04426119957326,50.66954111071465,24104710
44,2007-12-07,48.463035583496094,49.670987355624796,47.59331292898654,48.97842921341204,11742386
45,2007-12-10,48.51134490966797,49.10726413833035,47.88320839903136,48.930099670734094,8330010
46,2007-12-11,48.28584671020508,49.219994735550706,48.04425647766553,48.94619159819863,11685950
47,2007-12-12,48.2536506652832,48.68851410960352,47.351715229612644,47.67383565221468,16342131
48,2007-12-13,47.448333740234375,48.96230096775034,47.27116931466898,48.31806033800506,14620172
49,2007-12-14,46.98125457763672,47.722133876612325,46.73966435669522,47.2872706051104,10991851
50,2007-12-17,44.1465950012207,47.5127536189996,43.486245816752565,47.25505477785258,19355678
51,2007-12-18,43.953330993652344,45.41897679687119,42.584319545071565,43.64731492223724,21607783
52,2007-12-19,43.148033142089844,45.75720895816562,42.7775955981678,45.370662774659195,19526912
